"행정구역별(읍면동)","연령별",2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"행정구역별(읍면동)","연령별",총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명)
"충청남도","20~24세",144660,135706,72342,63364,149280,139392,74262,65130,148933,138349,73928,64421,148850,136454,73689,62765,146308,133469,71675,61794,138808,127916,68805,59111,133478,123739,66129,57610
"전라북도","5~9세",79366,79145,40921,38224,80588,80342,41395,38947,80210,80043,41192,38851,78863,78701,40523,38178,77840,77587,39949,37638,76371,76132,39150,36982,73014,72722,37472,35250
"전라북도","10~14세",91063,90904,47145,43759,84666,84513,43980,40533,82865,82765,42923,39842,81024,80918,42004,38914,79205,79071,41016,38055,80415,80274,41500,38774,81088,80909,41694,39215
"전라북도","15~19세",123926,123405,65248,58157,120958,120269,63533,56736,114829,113587,60244,53343,108439,106984,56674,50310,101942,100447,53146,47301,93811,92961,49060,43901,87145,86407,45715,40692
"전라북도","20~24세",126300,121426,66926,54500,128596,123315,68071,55244,128067,122021,67646,54375,128024,120249,66772,53477,124548,115976,64325,51651,123972,115947,63789,52158,118283,110932,61234,49698
"전라남도","5~9세",75143,74980,38671,36309,77182,76991,39568,37423,77847,77707,39735,37972,77366,77246,39505,37741,76356,76181,38845,37336,75394,75225,38187,37038,72690,72453,36849,35604
"전라남도","10~14세",84937,84838,44270,40568,79137,79019,41000,38019,77604,77504,40090,37414,76336,76224,39391,36833,74812,74669,38459,36210,76877,76753,39611,37142,78516,78365,40299,38066
"전라남도","15~19세",111028,110630,58786,51844,107750,107285,57327,49958,101276,100754,53845,46909,95929,95089,50960,44129,89719,88939,47680,41259,82241,81864,43879,37985,76785,76376,40588,35788
"전라남도","20~24세",99301,93986,53959,40027,101073,95427,55215,40212,99316,93977,54839,39138,100089,94154,55034,39120,98558,92121,53950,38171,97640,92307,53942,38365,91569,87062,51286,35776
"경상북도","5~9세",107840,107496,55953,51543,109851,109442,56917,52525,110300,109952,57195,52757,109324,108857,56476,52381,109118,108440,56155,52285,108372,107761,55809,51952,105766,104872,54090,50782
"경상북도","10~14세",116895,116738,61536,55202,109567,109372,57630,51742,107806,107592,56409,51183,106938,106623,55825,50798,105725,105282,55022,50260,106715,106294,55430,50864,108503,108010,56153,51857
"경상북도","15~19세",163791,162832,87646,75186,158144,156872,84447,72425,149154,147319,79396,67923,141480,138941,75002,63939,133650,131245,70774,60471,120322,119205,64371,54834,114129,113183,61081,52102
"경상북도","20~24세",171458,162946,91410,71536,173588,164667,92959,71708,171472,161828,91754,70074,169986,157817,89677,68140,164796,151471,86515,64956,158436,147069,84050,63019,151918,141802,80848,60954
"경상남도","5~9세",158209,157517,81518,75999,161229,160456,82946,77510,162159,161552,83333,78219,160413,159682,82457,77225,160353,159267,82176,77091,158251,157227,80961,76266,153280,151941,78153,73788
"경상남도","10~14세",165027,164633,86872,77761,156087,155633,81779,73854,155405,155034,81163,73871,155817,155327,80758,74569,154990,154340,79997,74343,157784,157121,81353,75768,161109,160364,82784,77580
"경상남도","15~19세",208104,207411,111174,96237,199413,198603,106258,92345,187833,186796,99981,86815,177600,176316,94602,81714,167002,165435,88961,76474,155935,154959,82920,72039,148364,147416,78538,68878
"경상남도","20~24세",204793,194204,110927,83277,205082,195198,111892,83306,200573,191438,109998,81440,198855,188367,108191,80176,192416,180758,104078,76680,188811,179537,102593,76944,176035,168540,97412,71128
"제주특별자치도","5~9세",32147,31943,16559,15384,33262,33006,17061,15945,33995,33780,17437,16343,34673,34378,17707,16671,34975,34535,17793,16742,35270,34747,17834,16913,35130,34533,17744,16789
"제주특별자치도","10~14세",34463,34316,18219,16097,33393,33247,17626,15621,33940,33783,17728,16055,34064,33827,17657,16170,33921,33607,17485,16122,34738,34386,17803,16583,35844,35507,18375,17132
"제주특별자치도","15~19세",39846,39423,20687,18736,39089,38627,20264,18363,37604,37088,19479,17609,36701,36027,18959,17068,35120,34442,18165,16277,33279,32883,17411,15472,31909,31585,16695,14890
"제주특별자치도","20~24세",38656,36154,19520,16634,39452,36593,19881,16712,40351,37261,20197,17064,40705,36904,20012,16892,39681,35730,19414,16316,39918,36772,19810,16962,37303,34893,18884,16009
